index,first_name,last_name,gender,age,visit_date,website_goal
0,James,Estes,male,35,22-09-17,When is trash day?
1,John,Salazar,male,43,23-09-17,Download a form
2,Robert,Melendez,male,27,22-11-17,Find a job
3,Michael,Morse,male,14,09-10-17,When is trash day?
4,William,Flynn,male,50,06-10-17,Find a job
5,David,Spears,male,39,21-10-17,Pay a bill
6,Richard,Bass,male,44,22-09-17,When is trash day?
7,Charles,Barr,male,33,22-12-17,Contact City Council
8,Joseph,Garrison,male,28,16-12-17,Contact City Council
9,Thomas,Duke,male,51,19-12-17,Download a form
10,Christopher,Bradford,male,41,06-10-17,When is trash day?
11,Daniel,Luna,male,27,01-11-17,Pay a bill
12,Paul,Calhoun,male,21,12-12-17,Contact City Council
13,Mark,Pennington,male,28,16-10-17,Download a form
14,Donald,Townsend,male,45,03-09-17,Contact City Council
15,George,Mann,male,24,14-10-17,Contact City Council
16,Kenneth,David,male,32,15-11-17,When is trash day?
17,Steven,Logan,male,36,16-10-17,Pay a bill
18,Edward,Duffy,male,30,26-10-17,Contact City Council
19,Brian,Henson,male,45,08-09-17,Find a job
20,Ronald,Rivers,male,52,06-11-17,When is trash day?
21,Anthony,Salazar,male,29,24-09-17,When is trash day?
22,Kevin,Berg,male,37,20-11-17,When is trash day?
23,Jason,Glass,male,40,15-09-17,Pay a bill
24,Matthew,Everett,male,24,11-12-17,Find a job
25,Gary,Landry,male,47,12-10-17,Pay a bill
26,Timothy,Dunlap,male,27,29-11-17,When is trash day?
27,Jose,Ortega,male,26,26-10-17,Pay a bill
28,Larry,Haley,male,35,10-10-17,When is trash day?
29,Jeffrey,Calhoun,male,39,20-11-17,Download a form
30,Frank,Raymond,male,32,07-09-17,Find a job
31,Scott,Bridges,male,29,09-09-17,Pay a bill
32,Eric,Holder,male,47,20-09-17,When is trash day?
33,Stephen,Vega,male,21,14-09-17,Pay a bill
34,Andrew,Gallagher,male,35,20-11-17,Contact City Council
35,Raymond,Townsend,male,34,28-09-17,When is trash day?
36,Gregory,Koch,male,53,27-10-17,When is trash day?
37,Joshua,Dillon,male,38,18-09-17,Download a form
38,Jerry,Goff,male,39,15-10-17,Find a job
39,Dennis,Aguirre,male,42,10-10-17,Find a job
40,Walter,Blake,male,46,07-09-17,Find a job
41,Patrick,Mcneil,male,48,09-10-17,Find a job
42,Peter,Hodge,male,28,21-10-17,Pay a bill
43,Harold,Pope,male,39,12-10-17,Pay a bill
44,Douglas,Singleton,male,31,18-12-17,Download a form
45,Henry,Tyson,male,47,29-11-17,Download a form
46,Carl,Randolph,male,22,16-11-17,Pay a bill
